rank,word,occurrences (ppm),lemma forms,English Word Translation,Lemma Translation
828,próxima,110,próximo,next,next
829,pobre,110,pobre,poor,poor
830,respuesta,109,respuesta,answer,answer
831,tipos,109,tipo,guys,guy
832,sentir,109,sentir,feel,feel
833,tenías,109,tener,you had,have
834,pude,109,poder,could,can
835,darle,109,dar,give it,give
836,voz,109,voz,voice,voice
837,amiga,109,amiga,friend,friend
838,gustan,109,gustar,like,like
839,vista,109,vista ver,view,view see
840,salvo,109,salvo salvar,except,save save
841,loca,108,loco,crazy,crazy
842,hotel,108,hotel,hotel,hotel
843,hicieron,108,hacer,they did,do
844,ten,108,tener,have,have
845,temo,108,temer,I fear,fear
846,señal,108,señal,sign,sign
847,pelo,108,pelo pelar,hair,peel hair
848,llevo,108,llevar,he took,carry
849,ayer,108,ayer,yesterday,yesterday
850,das,108,dar,you give,give
851,nena,108,nena,chick,chick
852,servicio,108,servicio,service,service
853,tren,107,tren,train,train
854,bonito,107,bonito,pretty,pretty
855,mes,107,mes,month,month
856,tendrá,107,tener,will have,have
857,tendrás,107,tener,you will have,have
858,edad,107,edad,age,age
859,ellas,107,ellas,they,they
860,hermosa,107,hermoso,beautiful,beautiful
861,honor,106,honor,honor,honor
862,simplemente,106,simplemente,simply,simply
863,llamas,105,llamar llama,flames,call call
864,tengas,105,tener,you have,have
865,corre,105,correr,runs,run
866,baja,105,bajo baja,low,low low
867,sol,105,sol,sun,sun
868,siéntate,105,sentar,sit down,sit
869,dan,105,dar,give,give
870,humano,105,humano,human,human
871,divertido,105,divertido divertir,fun,fun to amuse
872,sexo,104,sexo,sex,sex
873,vuelto,104,vuelto volver,turned,returned to return
874,peligro,104,peligro peligrar,danger,danger endanger
875,mesa,104,mesa,table,table
876,siguiente,104,siguiente,following,following
877,hablo,104,hablar,speak,talk
878,disculpa,104,disculpa disculpar,sorry,excuse me excuse me
879,decirme,104,decir,tell me,say
880,caja,103,caja,box,box
881,negocios,103,negocio negociar,business,business to negotiate
882,misión,103,misión,mission,mission
883,silencio,103,silencio,silence,silence
884,sale,103,salir,sale,go out
885,llegado,103,llegar,arrived,arrive
886,estaría,102,estar,would be,be
887,regreso,102,regreso regresar,return,return return
888,media,102,media medio,average,average average
889,estan,101,estar,are,be
890,propio,101,propio,own,own
891,oro,101,oro orar,gold,gold pray
892,enseguida,101,enseguida,immediately,immediately
893,linda,100,lindo,beautiful,nice
894,prometo,100,prometer,I promise,pledge
895,esposo,100,esposo esposar,husband,husband to handcuff
896,norte,99,norte,north,north
897,hubo,99,haber,was,have
898,juro,99,jurar,I swear,swear
899,muerta,99,muerto morir,dead,dead to die
900,interesante,99,interesante,interesting,interesting
901,pensaba,99,pensar,thought,think
902,busca,99,buscar busca,seeks,search search
903,terminar,99,terminar,finish,finish
904,tendré,98,tener,I will have,have
905,completamente,98,completamente,completely,completely
906,cita,98,cita citar,appointment,quote quote
907,siete,98,siete,seven,seven
908,cumpleaños,98,cumpleaños,birthday,birthday
909,abogado,98,abogado,lawyer,lawyer
910,alrededor,98,alrededor,around,around
911,cerebro,98,cerebro,brain,brain
912,porqué,97,porqué,because,because
913,llave,97,llave,key,key
914,santo,97,santo,holy,holy
915,hermoso,97,hermoso,beautiful,beautiful
916,necesario,97,necesario,necessary,necessary
917,edificio,97,edificio,building,building
918,irnos,97,ir,let's go,go
919,aun,97,aun,still,still
920,tendremos,97,tener,we will have,have
921,vayas,97,ir,you go,go
922,doy,96,dar,give,give
923,trae,96,traer,brings,bring
924,salió,96,salir,came out,go out
925,ley,96,ley,law,law
926,ahi,96,ahí,there,there
927,verdadero,96,verdadero,TRUE,TRUE
928,pelea,96,pelea pelear,fight,fight fight
929,banco,96,banco,bank,bank
930,terrible,95,terrible,terrible,terrible
931,calma,95,calma calmar,calm,calm calm down
932,cena,95,cena cenar,dinner,dinner dinner
933,daré,95,dar,I will give,give
934,gobierno,95,gobierno,government,government
935,comprar,95,comprar,buy,buy
936,creen,94,creer crear,believe,believe create
937,sargento,94,sargento,sergeant,sergeant
938,destino,94,destino,destination,destination
939,existe,94,existir,exists,exist
940,hacía,94,hacer,toward,do
941,novio,93,novio,boyfriend,boyfriend
942,sala,93,sala,hall,hall
943,través,93,través,through,through
944,regalo,93,regalo regalar,gift,gift to give away
945,iglesia,92,iglesia,church,church
946,decía,92,decir,he said,say
947,cualquiera,92,cualquiera,any,any
948,excelente,92,excelente,excellent,excellent
949,esperen,92,esperar,wait,wait
950,deseo,92,deseo desear,desire,I wish to wish
951,alma,92,alma,soul,soul
952,diablo,92,diablo,devil,devil
953,deje,92,dejar,leave,leave
954,cuántos,92,cuántos,how many,how many
955,espada,92,espada,sword,sword
956,estábamos,92,estar,we were,be
957,carne,92,carne,meat,meat
958,maravilloso,92,maravilloso,marvelous,marvelous
959,vidas,91,vida,lives,life
960,sucedió,91,suceder,happened,happen
961,oí,91,oír,I heard,hear
962,peligroso,91,peligroso,dangerous,dangerous
963,dirección,91,dirección,address,address
964,libertad,91,libertad,freedom,freedom
965,jesús,91,Jesús,Jesus,Jesus
966,ocurrió,91,ocurrir,occurred,occur
967,veré,91,ver,I'll see,see
968,sueños,91,sueño,dreams,dream
969,pudiera,91,poder,could,can
970,detective,90,detective,detective,detective
971,sorpresa,90,sorpresa,surprise,surprise
972,tuya,90,tuyo,yours,yours
973,pies,90,pie,feet,foot
974,club,90,club,club,club
975,terminado,90,terminar,finished,finish
976,infierno,90,infierno,hell,hell
977,creía,90,creer,I believed,believe
978,luna,90,luna,moon,moon
979,salvar,90,salvar,save,save
980,carta,90,carta,letter,letter
981,estés,90,estar,you are,be
982,cielos,89,cielo,Heavens,darling
983,teniente,89,teniente,lieutenant,lieutenant
984,encuentra,89,encontrar,finds,find
985,veamos,89,ver,let's see,see
986,quise,89,querer,I wanted,want
987,escúchame,89,escuchar,listen to me,hear
988,necesitan,89,necesitar,need,need
989,ambos,89,ambos ambo,both,both both
990,decisión,89,decisión,decision,decision
991,enemigo,89,enemigo,enemy,enemy
992,hicimos,89,hacer,we did,do
993,dulce,88,dulce,sweet,sweet
994,pruebas,88,prueba probar,evidence,test try
995,querías,88,querer,you wanted,want
996,abuelo,88,abuelo,grandfather,grandfather
997,totalmente,88,totalmente,completely,completely
998,mirando,88,mirar,looking,look
999,vayan,88,ir,go,go
1000,carrera,88,carrera,career,career
